EN-GLOSS	ES-GLOSS	FR-GLOSS	PG-GLOSS	semantic field	Achagua	Baniwa	Baré	Kabiyari	Piapoco	Resigaro	Tariana	Warekena	Yukuna
roll, make obj revolve on the ground	hacer rodar, revolcar	rouler, faire rouler	rolar, jogar	verb	$woweneriu$ (rodarse) {Melendez 2011}	$-deɻiɲha$ (rolar) {Ramirez 2001}				$vigi-khú$ (rolar) {Allin 1979}	$di-kólo$ (rolar) {Aikhenvald 2001}		$kahyaʔakahe$ (rolar) {Schauer 2005}
root	raiz	racine	raiz	plant	$hi:tʃuʃi$ (raiz) {Melendez 2011}	$-paɺi$ (raiz) {Ramirez 2001}	$duri$ (raiz) {Oliveira 93}	<apáre> $apáre$ (raiz) {Epps}	<ipìchu> $ipìtʃu$ (raiz) {Epps}, $í̵iriná$ (raiz) {H&R 1992}	$tébaké$ (raiz) {Epps}	$di-páli$ (raiz) {Aikhenvald 2001}		$hiʔilahi$ (raíz) {Epps}
rope, string	cuerda	corde	corda	material culture			$sima$ (corda) {Oliveira 93}		$jéenúlusi$ (corda) {H&R 1992}	$tsʰomaátsí-ʔó$ (corda) {Epps},	$kamáña$ (corda) {Epps}, $kamájana$ $kamáyana$ (corda) {Epps}	$a:ta$ (corda) {Aikhenvald 2012}, $tsumana$ (corda) {Aikhenvald 2012}, $tʃiyúɾi$ (corda) {Aikhenvald 2012}	$íɲehi$ (corda) {Epps}
rot	pudrirse	pourrir	apodrecer	verb		$-pa$ (apodrecer) {Ramirez 2001}	$pʰasa$ (apodrecer) {Oliveira 93}		$ibadákaβa$ (podrirse) {Klumpp 1995}	$-aʔmú$ (apodrecer) {Allin 1979}	$-pa$ (apodrecer) {Aikhenvald 2001}	$ʃipata$ (apodrecer) {Aikhenvald 2012}, $maʃini$ (apodrecer) {Aikhenvald 2012}	$mahaʔakaho$ (apodrecer para carne) {Schauer 2005}, $patákaʔakaho$ (apodrecer para dente, teto) {Schauer 2005}
rub obj down with sth, smear sth across obj, as grease or paint	frotar, untar	étaler, frotter	esfregar	verb		$-tsikóta$ (esfregar) {Ramirez 2001}	$binada$ (esfregar) {Oliveira 93}		$wakiríaka$ (esfregar) {H&R 1992}, $nupusúaka$ (untar) {Klumpp 1995}	$ɲoi-khú$ (esfregar) {Allin 1979}	$di-átha$ (esfregar) {Aikhenvald 2001}, $di-káni$ (esfregar), {Aikhenvald 2001}, $di-sukutá$ (esfregar) {Aikhenvald 2001}	$muɾuka$ (esfregar) {Aikhenvald 2012}	$toxɾoʔokáhe$ (esfregar) {H&R 1992}
rub obj with obj	frotar	frotter	esfregar	verb	$ki:reri$ (frotar) {Melendez 2011}	$-tsikóta$ (esfregar) {Ramirez 2001}	$binada$ (esfregar) {Oliveira 93}				$di-átha$ (esfregar) {Aikhenvald 2001}, $di-káni$ (esfregar), {Aikhenvald 2001}, $di-sukutá$ (esfregar) {Aikhenvald 2001}		
run	correr	courir	correr	verb	$kanakeriu$ (correr) {Melendez 2011}	$-hé:ko$ (correr) {Ramirez 2001}	$bara$ (correr) {Oliveira 93}			$-héʔkó$ (correr) {Allin 1979}, $-éʔʒo$ (correr) {Allin 1979}	$di-éku$ (correr) {Aikhenvald 2001}		$hetʃoʔokaho$ (correr) {Schauer 2005}
salt	sal	sel	sal	other	$iwiduma$ (sal) {Melendez 2011}	$jokíɻa$ (sal) {Ramirez 2001}	$yukira$ (sal) {Oliveira 93}	<íiwi> $íiwi$ (sal) {Epps}	<iwi(duma)> $iwi(duma)$ (sal) {R01}	$kanaamáʔo$ (sal), $iíwi$ (sal) {Ramirez 2001}	$íwi$ (sal) {Aikhenvald 2001}	$yukiɾa$ (sal) {Aikhenvald 2012}	$jukiɾa$ (sal) {Epps}
sand	arena	sable	areia	other	$kaina$ (arena) {Melendez 2011}	$káida$ (areia) {Ramirez 2001}	$arena$ (areia) {Oliveira 93}	<káʔa> $káʔa$ (areia) {Epps}	<kai[na]> $kai[na]$ (areia) {Epps}	$meníigí$ (areia) {Allin 1979}	$káido$ (areia) {Aikhenvald 2001}	$yátʃina$ (areia) {Aikhenvald 2012}	$keʔ-pé$ (areia) {Epps}
sandfly	manta blanca	phlébotome	maruim, pium	animal		$t̺ó:t̺ooni$ (maruim) {Ramirez 2001}, $keɻheni$ (maruim) {Ramirez 2001}	$kawibe$ (maruim) {Oliveira 93}						
savannah	sabana	savane	savana	other					$manakúali$ (savana) {H&R 1992}				$mawaʔaní$ (savana) {Schauer 2005}
say	decir	dire	dizer	verb	$mairi$ (decir) {Melendez 2011}	$-kaíte$ (dizer) {Ramirez 2001}	$dina$ (dizer) {Oliveira 93}	<íma> $íma$ (dizer) {Epps}	<íma> $íma$ (dizer) {Epps}, <núumaca> (decir) {Klumpp 1995}	$-kemú$ (dizer) {Allin 1979}	$di-á$ (dizer) {Aikhenvald 2001}		$mí-$ (dizer) {Epps}
scales	escama	écaillle	escama	body part		$-whi$ (escama) {Ramirez 2001}				$-vaɸogú$ (escama) {Allin 1979}	$kúphe: íwhi$ (escama) {Aikhenvald 2001}		$haʔahuhi$ (escama) {Schauer 2005}
scare (VT)	asustar (espantar)	faire peur, craindre	assustar-se	verb.trans.		$-whíeta$ (assustar) {Ramirez 2001}			<nucalùadaca> (asustar) {Klumpp 1995}	$-íɸotú$ (assustar) {Allin 1979}			$keɾoʔótakahe$ (assustar alguém) {Schauer 2005}
scold	regañar	gronder	ralhar	verb	$kaiteri$ (regañar) {Melendez 2011}	$-kóit̺a$ (latir, ralhar) {Ramirez 2001}			$ikuísaka$ (regañar) {Klumpp 1995}	$-iʔnú$ (ralhar) {Allin 1979}			$akaʔakahe$ (ralhar) {Schauer 2005}
scorpion	alacrán	scorpion	escorpião	insect	$aketo:$ (alacran) {Melendez 2011}	$dzáɺe:$ (escorpião) {Ramirez 2001}		<tʃáre> $tʃáre$ (escorpião) {Epps}	<chália> $tʃália$ (escorpião) {Epps}	$epíitsʰí$ (escorpião) {Epps}	$yáɾe$ (escorpião) {Aikhenvald 2001}, $tsúdeɾi$ (escorpião) {Aikhenvald 2001}, $ákuɾu$ (escorpião) {Aikhenvald 2001}		$ipihí$ (escorpião) {Epps}, $ipihɾí$ (escorpião) {Epps}, $ipisí$ (escorpião) {Epps}
scrape (sth off of obj)	raspar	gratter, érafler	raspar	verb		$hiɻít̺a$ (raspar) {Ramirez 2001}			<íwíaca> $íwíaka$ (raspar) {Epps}, $nudadà:ka$ (rasgar) {Klumpp 1995}		$di-khaká$ (raspar) {Aikhenvald 2001}	$baɾika$ (arrancar) {Aikhenvald 2012}	$haɾípaʔakahe$ (raspaɾ) {Epps}, $saɾípaʔakahe$ (raspar) {Epps}
scratch (itch)	raspar, arañar	gratter	raspar, coçar	verb		$hiɻít̺a$ (raspar) {Ramirez 2001}	$kʰaru$ (coçar) {Oliveira 93}	<wée> $wée$ (coçar) {Epps}			$di-kasyá$ (coçar) {Aikhenvald 2001}	$weya$ (coçar) {Aikhenvald 2012}	$haɾaʔakahe$ (raspar) {Schaueɾ 2015}
scratch ground, scrape ground, make shallow depression/hole (as chickens)	escarbar	gratter, fouiller	arranhar			$-oopáta$ (arranhar) {Ramirez 2001}	$paidã$ (arranhar) {Oliveira 93}			$kʰováʔ-kʰú$ (rasgar) {Epps}	$di-kasyá$ (arranhar) {Aikhenvald 2001}		$itʃakahe$ (arranhar) {Schauer 2005}
sedge	piripiri	jonc	junça	other									
see	ver	voir	ver	verb	$kaberi$ (ver) {Melendez 2011}	$-kápa$ (ver) {Ramirez 2001}	$ya$ (ver) {Oliveira 93}	<ikhá> $ikhá$ (ver) {Epps}	<icáca> $ikáka$ (ver) {Epps}	$-tshení$ (ver) {H&R 1992}	$di-ká$ (ver) {Aikhenvald 2001}	$eda$ (ver) {Aikhenvald 2012}	$amákahe$ (ver) {Epps}
seed	semilla	graine	semente	other	$i:miʃi$ (semilla) {Melendez 2011}	$-é:khe$ (semente) {Ramirez 2001}	$iti$ (semente) {Oliveira 93}	<(ka ka)kitjihe> (semente) {H&R 1992}	$íimi$ (semente) {H&R 1992}	$hímiú$ (semente) {Allin 1979}	$di-dúpe$ (semente) {Aikhenvald 2001}		$ihihi$ (semente) {Schauer 2005}
separate oneself from group (VI), become separate, of obj (VI)	separarse	se séparer	separar-se	verb.refl.	$ʃaderiu$ (separarse) {Melendez 2011}	$-maka:kakawa$ (separar) {Ramirez 2001}			$iseɾíakaβa$ (separarse) {Klumpp 1995}	$khadaʔ-ʒú$ (separar-se) {Allin 1979}	$di-nawéta$ (separar) {Aikhenvald 2001}		$tamákaʔatakaho$ (se separar) {Schauer 2005}
separate sth from group (VT), confiscate obj (VT)	quitar	séparer	remover	verb	$e:deri$ (quitar) {Melendez 2011}	$-híta$ (tirar) {Ramirez 2001}				$moiʔ-khú$ (remover) {Allin 1979}	$di-dála$ (tirar) {Aikhenvald 2001}	$butʃuka$ (tirar) {Aikhenvald 2012}, $mitsiwata$ (tirar) {Aikhenvald 2012}, $yata$ (tirar) {Aikhenvald 2012}	$kaʔakahe$ (quitar) {Stʃuaeɾ 2005}
shadow, shade	sombra	ombre, ombrage	sombra	other	$ta:naʃi$ (sombra) {Melendez 2011}	$-dá:nami$ (sombra) {Ramirez 2001}	$naharu$ (sombra) {Oliveira 93}		$itá:ná$ (sombra) {Klumpp 1995}		$di-dána$ (sombra) {Aikhenvald 2001}		$ɲakahi$ (sombra) {Schauer 2005}
sharpen (VT)	afilar	aiguiser, affûter	aguçar	verb		$-kemanáta$ (afilar) {Ramirez 2001}, $-t̺íoka$ (afilar) {Ramirez 2001}			$nuékuaka$ (afiar) {Klumpp 1995}	$tsóóʔvi-khú$ (afiar) {Allin 1979}	$pimaneta$ (afiar) {Aikhenvald 2001}	$a:menata$ (afiar) {Aikhenvald 2012}	
shell, hard shell as of turtle	cascara	coquille	concha, capa, casca	other		$thiwát̺i$ (concha) {Ramirez 2001}					$kaɾasúda-tuɾápa$ (concha) {Aikhenvald 2001}		
shin	canilla	tibia	canela, tíbia	body part		$-kawá:phi$ (canela) {Ramirez 2001}				$-kaavaí$ (canela) {Allin 1979}	$di-awadú-da$ (canela, parte de dentro) {Aikhenvald 2001}, $di- ápi-da$ (canela, parte de fora) {Aikhenvald 2001}		
shoot arrow	disparar, flechar, pucunear	tirer à l'arc	atirar, atirar flechas, pucunear	verb	$tʃa:wideri$ (flechar) {Melendez 2011}	$-kakóɺha$ (atirar) {Ramirez 2001}	$ʰnu$ (atirar) {Oliveira 93}		<núacani énu iyú> $núacani énu iyú$ (atirar) {Epps}, <nutʃàβidà:ka> (flechar) {Klumpp 1995}			$muduka$ (atirar) {Aikhenvald 2012}, $tsawita$ (flechar) {Aikhenvald 2012}	$mahákaʔakahe$ (atirar) {Epps}
shore, bank	orilla (banda, margen)	rivage, rive	costa, margem (ribanceira)	other	$takowaʃi$ (orilla) {Melendez 2011}	$-nomápi$ (beira) {Ramirez 2001}			$i:βitami$ (costa) {Klumpp 1995}			$nunapita$ (costa) {Aikhenvald 2012}	$turenahi$ (costa) {Schaueɾ 2005}
short	corto, bajo	court	curto, baixo	other	$amaraitai$ (corto, corta) {Melendez 2011}, $amaraitau$ (corto, corta) {Melendez 2011}	$mádoa$ (curto) {Ramirez 2001}			<maléenéeri> $maléenéeri$ (baixo) {Epps}	$matsʰóʔ$ (curto) {Epps}	$madúite$ $madúite$ (baixo) {Epps}		$metahlani$ (curto) {Epps}
shoulder	hombro	épaule	ombro	body part	$sehkuʃi$ (hombro) {Melendez 2011}	$-t̺éda$ (ombro) {Ramirez 2001}			<wáacuta> $wáakuta$ (ombro) {Epps}	$-váakó$ (ombro) {Allin 1979}, $-váakô$ (ombro) {Allin 1979}, $baú$ (ombro) {Allin 1979}	$pa-nápa$ (ombro) {Aikhenvald 2001}, $pa-náku-ɾi$ (ombro) {Aikhenvald 2001}, $nu-kapí íthani$ (ombro) {Aikhenvald 2001}	$nuyáwapa$ (ombro) {Aikhenvald 2012}, $yawa$ (ombro) {Aikhenvald 2012}	$wakúlaʔapahi$ (ombro) {Epps}
shout, yell	gritar	crier, hurler	gritar	verb	$maidaderi$ (gritar) {Melendez 2011}	$-he:mátha$ (gritar) {Ramirez 2001}	$tʃuma$ (gritar) {Oliveira 93}				$dhematháni$ (gritar) {Aikhenvald 2001}, $dhemathá$ (gritar) {Aikhenvald 2001}		$hawíyoʔokahe$ (gritar) {Schauer 2005}, $awíyoʔokahe$ (gritar) {Schauer 2005}
sibling, general	hermano/a, general	frère ou sœur	irmão / irmã, Geral	kinship		$-mheɻe:ɻi$ (irmão) {Ramirez 2001}, $-phe:ɻi$ (irmão) {Ramirez 2001}, $-e:ɻikana:$ (irmão) {Ramirez 2001}							
side	lado	côté	lado	other	$bahehe$ (lado) {Melendez 2011}, $duiu$ (lado) {Melendez 2011}	$-eéma$ (lado) {Ramirez 2001}			$ikàkumà:$ (lado) {Klumpp 1995}	$-aʔnú$ (lado) {Allin 1979}		$mana$ (lado) {Aikhenvald 2012}	$hepónaʔapahi$ (lado) {Schauer 2005}
sieve (strainer)	cernidor, colador	passoire	peneira, crivo	material culture		$dopítsi$ (peneira) {Ramirez 2001}, $oɻopéma$ (peneira) {Ramirez 2001}			<tsupiθi> $tsupiθi$ (peneira) {R01}	$tsʰídóogí$ (peneira) {Epps}	$síɾuɾi$ (peneira) {Aikhenvald 2001}, $yupic̃í$ (peneira) {Aikhenvald 2001}, $amukú$ (peneira) {Aikhenvald 2001}	$yupitʃi$ (peneira) {Aikhenvald 2012}	$heyoʔopʰá$ (peneira) {Schauer 2005}
sing	cantar	chanter	cantar	verb	$raberi$ (cantar) {Melendez 2011}	$-a:ɺatsha$ (cantar) {Ramirez 2001}, $-kanta$ (cantar) {Ramirez 2001}	$huka$ (cantar) {Oliveira 93}		$wakántàaka$ (cantar) {H&R 1992}	$-hadáʔpú$ (cantar) {Allin 1979}	$di-ɾápa$ (cantar) {Aikhenvald 2001}	$kanita$ (cantar) {Aikhenvald 2012}	$ataníkahe$ (cantar) {Schauer 2005}
singe hair off of	chamuscar	roussir, cramer, brûler légèrement	chamuscar	verb						$-aʔvénonú$ (chamuscar) {Allin 1979}			$káɾaʔatakahe$ (chamuscar) {Schauer 2005}
sink (VI)	hundirse, sumir	couler, sombrer	afundar	verb.intr.	$jahueriu$ (hudirse) {Melendez 2011}	$-a:wíɲa$ (afundar) {Ramirez 2001}, $-wiɻíɲa$ (afundar) {Ramirez 2001}			$idapúakaβa$ (hundirse) {Klump95}, $isaβíakaβa$ (hundirse) {Klumpp 1995}, $nusaβíadaka$ (hundir) {Klumpp 1995}	$saboʔ-khú$ (afundar) {Allin 1979}, $saboʒú$ (afundar-se) {Allin 1979}	$di-ámhua$ (afundar) {Aikhenvald 2001}	$iɾike$ (afundar) {Aikhenvald 2012}, $ʃuma$ (afundar) {Aikhenvald 2012}	
sister (general)	hermana	sœur	irmã	kinship	$e:nahto:ʃi$ (hermana) {Melendez 2011}	$-phe:ɻo$ (irmã) {Ramirez 2001}, $-wé:doa$ (irmã) {Ramirez 2001}				$tʃhówí$ (irmã) {Allin 1979}, $pheʔdótsí$ (irmã mais velha) {Allin 1979}, $épooʔú$ (irmã mais nova) {Allin 1979}, $époʔpatsipíʒé$ (irmã mais nova) {Allin 1979}		$mawiɾite$ (irmã) {Aikhenvald 2012}, $yaɾiya$ (irmã) {Aikhenvald 2012}	$oʔoweló$ (irmã) {Schauer 2005}
sister of mother	tía materna	tante maternale	tia materna	kinship		$-hadoa tena:$ (tia materna) {Ramirez 2001}			$núatúaná$ (hermana de mi madre) {Klumpp 1995}	$-phaikéʔnaavá$ (tia materna) {Allin 1979}	$hadothéɾu$ (tia materna) {Aikhenvald 2001}		$owilá$ (tia materna) {Schauer 2005}
sister, no age spec	hermana	sœur	irmã	kinship	$e:nahto:ʃi$ (hermana) {Melendez 2011}	$-phe:ɻo$ (irmã) {Ramirez 2001}, $-wé:doa$ (irmã) {Ramirez 2001}			$nuénásà:túa$ (hermana) {Klumpp 1995}				$oʔoweló$ (irmã) {Schauer 2005}
sister-in-law	cuñada	belle-sœur	cunhada	kinshio	$nituaʃi$ (cuñada) {Melendez 2011}	$-tsha:ɻo$ (cunhada) {Ramirez 2001}, $-nídoa$ (cunhada) {Ramirez 2001}			$nutʃáɺu$ (cuñada) {Klumpp 1995}, $nunitúa$ (cuñada) {Klumpp 1995}	$-níjaavú$ (cunhada) {Allin 1979}			$yuʔuwiyá$ (cunhada) {Schauer 2005}
sit	sentar	s'asseoir	sentar-se	verb.refl.	$wa:iriu$ (sentarse) {Melendez 2011}	$-o:wha:$ (sentar) {Ramirez 2001}	$ʰyarruma$ (sentar) {Oliveira 93}	<tu(')na> $tu(')na$ (sentar) {Epps}	<awinacawa> $awinakawa$ (sentar-se) {Epps}	$ítsʰú$ (sentar) {Epps}, $iʔtsʰáká$ (sentar) {Epps}	$di-wha$ (sentar) {Aikhenvald 2001}		$jáʔakaho$ (sentar) {Epps}, $jáʔakahe$ (sentar) {Epps}
skin	piel	peau	pele	other	$i:manaʃi$ (piel) {Melendez 2011}	$-ja$ (pele) {Ramirez 2001}	$i'ida$ (pele dele) {Oliveira 93}	<íʔa-mi> $íʔa-mi$ (pele) {Epps}	<ímami> $ímami$ (pele) {Epps}	$eémámííʔo$ (pele) {Epps}, $eémú$ (pele) {Epps}	$dí-ya$ (pele) {Aikhenvald 2001}	$numata$ (pele) {Aikhenvald 2012}, $witu$ (mutum) {Aikhenvald 2012}	$ímahi$ (pele) {Epps}
sky	cielo	ciel	céu	other	$e:ri$ (cielo) {Melendez 2011}	$é:no$ (céu) {Ramirez 2001}	$enu$ (céu) {Oliveira 93}	<ʔianati> $ʔianati$ (céu) {Epps}	<capìlaléeri> $kapìlaléeri$ (céu) {Epps}	$háʔihí$ (céu) {Epps}	$enú-kwa$ (céu) {Aikhenvald 2001}	$enu$ (céu) {Aikhenvald 2012}	$heʔetʃú$ (céu) {Epps}
sleep	dormir	dormir	dormir	verb	$ma:iri$ (dormir) {Melendez 2011}	$-íma:$ (dormir) {Ramirez 2001}	$duma$ (dormir) {Oliveira 93}	<imáa> $imáa$ (dormir) {Epps}	<imáca> $imáka$ (dormir) {Epps}, $piimá$ (dormir) {H&R 1992}	$ímú$ (dormir) {Epps}	$dí:ma$ (dormir) {Aikhenvald 2001}	$tʃima$ (dormir) {Aikhenvald 2012}, $tsema$ (dormir) {Aikhenvald 2012}	$kamátakaho$ (dormir) {Epps}
sloth, general	pelejo, perezoso	paresseux	preguiça	animal	$i:nui$ (perezoso) {Melendez 2011}	$tsi:kábo$ (preguiça) {Ramirez 2001}, $wá:mo$ (preguiça) {Ramirez 2001}		<pút̪aru> $pút̪aru$ (preguiça) {Epps}	$ínuíri$ (perezoso) {Klumpp 1995}	$potsʰáadó$ (preguiça) {Epps}	$inasíte$ (preguiçoso) {Aikhenvald 2001}, $inasúite$ (preguiçoso) {Aikhenvald 2001}	$waɾútu$ (preguiça) {Aikhenvald 2012}	$mulu$ (preguiça) {Epps}
smell (VI, issue a smell)	oler, tener olor	sentir	cheirar	verb		$-e:mia$ (cheirar) {Ramirez 2001}	$ʰwa$ (cheirar) {Oliveira 93}				$kesáni$ (cheirar) {Aikhenvald 2001}		
smell (VT, perceive a smell)	oler, olfatear	sentir	farejar	verb		$-e:mia$ (cheirar) {Ramirez 2001}		<meʔa> $meʔa$ (cheirar) {Epps}	$wamìaka$ (cheirar) {H&R 1992}, $numìaka$ (oler) {Klumpp 1995}	$mókʰó$ (cheirar) {Epps}	$kesáni$ (cheirar) {Aikhenvald 2001}		$amaʔakahe$ (farejaɾ) {Schauer 2005}
smoke (consume sth by smoking)	fumar (tabaco)	fumer	fumar (tabaco)	verb	$ʃidueri$ (fumar) {Melendez 2011}	$-t̺ítoa$ (fumar) {Ramirez 2001}		<ít̪a-ri> $ít̪a-ri$ (fumar) {Eppps}	<ísa> $ísa$ (fumar) {Epps}, $isidùaka$ (fumar) {Klumpp 1995}	$iítsʰú$ (fumar) {Epps}	$di-síta$ (fumar) {Aikhenvald 2001}		$wihɾoʔokahe$ (fumar) {Schauer 2005}
smoke (N), steam, fog, mist	humo, vapor, neblina	fumée, vapeur, brouillard, brume	fumaça, vapor, névoa	other	$i:sa$ (humo) {Melendez 2011}, $i:sanina:$ (vapor) {Melendez 2011}	$í:t̺a$ (fumaça) {Ramirez 2001}	$pʰukuku$ (fumaça) {Oliveira 93}	<ít̪a-ri> $ít̪a-ri$ (fumaça) {Epps}	<ísa> $ísa$ (fumar) {Epps}, $samàna$ (neblina) {H&R 1992}	$iítsʰú$ (nevoeiro) {Epps}		$ʃiaɾiɾi$ (fumaça) {Aikhenvald 2012}, $aʃi ʃyaliɾi$ (fumaça) {Aikhenvald 2012}, $ʃyaɾiɾi$ (nevoeiro) {Aikhenvald 2012}	$iha$ (fumaça) {Epps}
smoke food	ahumar	fumer	defumar	verb	$mideri$ (ahumar) {Melendez 2011}	$-i:t̺ata$ (defumar) {Ramirez 2001}			$numìdeca$ (defumar) {Klumpp 1995}, $ísa$ (humo) {Klumpp 1995}	$-mitú$ (fumar) {Allin 1979}	$di-buetá$ (defumar) {Aikhenvald 2001}		$aʔamitakahe$ (fumaça para carne ou peixe) {Schauer 2005}
snake	culebra, víbora	serpent	cobra	animal	$uniwini$ (culebra) {Melendez 2011}	$a:pi$ (cobrar) {Ramirez 2001}	$mawaya$ (cobra) {Oliveira 93}	<apí> (cobra) {dp91}	<áapi> $á:pi$ (cobra) {Epps}	$onáʔkó$ (cobra genérico) {Epps}	$mawáli$ (cobra) {Aikhenvald 2001}, $mawáɾi$ (cobra) {Aikhenvald 2001}, $yuléma$ (cobra) {Aikhenvald 2001}	$api$ (cobra) {Aikhenvald 2012}, $ãpi$ (cobra) {Aikhenvald 2012}	$heina$ (cobra geral) {Epps}, $hanaʔatú$ (víbora) {Epps}
sneeze	estornudar	éternuer	espirrar	verb	$e:ʃineri$ (sneeze) {Melendez 2011}	$hitsiɲha$ (espirrar) {Ramirez 2001}				$héʔtʃhíhuu-khú$ (espirrar) {Allin 1979}	$di-sikéna$ (espirrar) {Aikhenvald 2001}	$atʃita$ (espirrar) {Aikhenvald 2012}	$aʔatʃiɲakahe$ (espirrar) {Schauer 2005}
soft	suave	doux	macio	other	$imijai$ (suave) {Melendez 2011}, $imijau$ (suave) {Melendez 2011}				$bàsabèsé:ɾi$ (suave) {Klumpp 1995}	$ɲoʔhuuʔ$ (macio) {Allin 1979}		$uɾáɾi$ (macio) {Aikhenvald 2012}	$kalákuni$ (suave) {Schauer 2005}
son	hijo	fils	filho	kinship		$-e:nípe$ (filho) {Ramirez 2001}, $-íɻi$ (filho) {Ramirez 2001}	$ditʃare$ (filho) {Oliveira 93}		$kìrasìi$ (filho) {H&R 1992}, $nuìɾi$ (hijo) {Klumpp 1995}	$aáʔpe$ (filho) {Allin 1979}, $žaání$ (filho) {Allin 1979}	$emíte$ (filho) {Aikhenvald 2001}, $emípeni$ (filho) {Aikhenvald 2001}	$nuʃianipe$ (filho) {Aikhenvald 2012}	$iʔiɾihí$ (filho) {Schauer 2005}
son-in-law	yerno	beau-fils	genro	kinship	$niriʃi$ (yerno) {Melendez 2011}	$-tsimaɻe$ (genro) {Ramirez 2001}			$nuísìmaɺe$ (yerno) {Klumpp 1995}	$-iʔʒíigí$ (genro) {Allin 1979}	$di-simá-ɾi$ (genro) {Aikhenvald 2001}		$lakéhnohi$ (genro) {Schauer 2005}
speak	hablar	parler	falar	verb	$ta:nieri$ (hablar) {Melendez 2011}	$ka:ko$ (falar) {Ramirez 2001}	$tʃere$ (falar) {Oliveira 93}			$-novígipí$ (falar) {Allin 1979}	$di-á$ (falar) {Aikhenvald 2001}	$ma$ (falar) {Aikhenvald 2012}, $tʃina$ (falar) {Aikhenvald 2012}, $wayata$ (falar) {Aikhenvald 2012}	$puɾaʔakaho$ (falar) {Schauer 2005}
spear	lanza	lance	lança	material culture	$tʃa:wina:$ (lanza) {Melendez 2011}				<ùlibàna> $ùlibàna$ (lança) {Epps}	$noótsígú$ (lança) {Epps}	$huída$ (lança) {Aikhenvald 2001}, $mulúku$ $mulúku$ (lança) {Epps}		$wehɾukú$ (lança) {Epps}
spider	araña	araignée	aranha	animal		$é:ni$ (aranha) {Ramirez 2001}	$anaurw$ (aranha) {Oliveira 93}	<éeji> $éeji$ (aranha) {Epps}	<èeni> $èeni$ (aranha) {Epps}	$paagáú$ (aranha) {Epps}	$é:ni$ (aranha) {Aikhenvald 2001}, $ewanapáli$ $ewanapáli$ (aranha) {Epps}		$kati$ (aranha) {Epps}
spider monkey	maquizapa	singe-araignée	macaco-aranha, coatá	animal									
spiderweb	teleraña	toile d'araignée	teia	other		$eniká:ɺia$ (teia) {Ramirez 2001}					$yú:pia$ (teia) {Aikhenvald 2001}		
spine	columna vertebral, espinazo	colonne vertébrale	espinha, espinha dorsal	body part	$waliʃi$ (columna vertebral) {Melendez 2011}	$-e:kóexeni$ (espinha) {Ramirez 2001}			$nu-βa:ɺí$ (columna vertebral) {Klumpp 1995}	$-vaníaapí$ (coluna vertebral) {Allin 1979}	$nu-samise-ñapi$ (coluna vertebral) {Aikhenvald 2001}		$wahlehi$ (coluna vertebral) {Schauer 2005}
spirit, ghost, of dead person	alma	esprit, fantôm, revenant, spectre	espírito de pessoa morta	other	$wowanaʃi$ (alma) {Melendez 2011}	$-da:nami$ (fantasma) {Ramirez 2001}, $da:naimi$ (fantasma) {Ramirez 2001}			$iβàβa káuɾi$ (alma de difunto) {Klumpp 1995}	$-vaavú$ (alma) {Allin 1979}			
spirit, soul, of live person/animal	alma	âme, esprit	espirito, alma de pessoa viva	other	$wowanaʃi$ (alma) {Melendez 2011}	$-ka:ɺemi$ (alma) {Ramirez 2001}			$nukáuka$ (alma) {Klumpp 1995}				
spit (N)	saliva	salive	saliva	body part	$e:rueʃi$ (saliva) {Melendez 2011}	$a:nómha:$ (saliva) {Ramirez 2001}		<?iiarupa> (saliva) {H&R 1992}	$wá-awiruni$ (saliva) {H&R 1992}	$-úni$ (saliva) {Allin 1979}	$di-áwi$ (saliva) {Aikhenvald 2001}		$áwihi$ (saliva) {Schauer 2005}
spit (V)	escupir	cracher	cuspir	verb	$wi:seri$ (escupir) {Melendez 2011}	$nhiwít̺a$ (cuspir) {Ramirez 2001}		<iwitá> $iwitá$ (cuspir) {Epps}	<nùapìsaca> $nùapìsaka$ (cuspir) {Epps}	$tʃhóo-khú$ (cuspir) {Allin 1979}	$di-wisá$ (cuspir) {Aikhenvald 2001}	$ʃuweta$ (cuspir) {Aikhenvald 2012}	$atʰupákahe$ (cuspir) {Epps}, $awihákahe$ (cuspir) {Epps}
split (VI), develop crack and separate down crack, of rigid obj such as plate or wood	partir(se)	se fendre, se fêler	partir-se	verb.intr.		$-ke:ta$ (partir) {Ramirez 2001}, $-mataka$ (partir) {Ramirez 2001}, $-mhe:ta$ (abrir) {Ramirez 2001}			<tucúaca> $tukúaka$ (partir-se) {Epps}	$kʰovaʔ-kʰú$ (partir madeira) {Epps}, $kʰovakóʔi-Jú$ (partir) {Epps}			
split (VT), cut or break down central axis and force apart, e.g. split a log or open belly of carcass	rajar, partir (leña)	fissurer, fêler	partir	verb	$witʃuederi$ (suave) {Melendez 2011}, $pakederi$ (partir) {Melendez 2011}	$-ke:ta$ (partir) {Ramirez 2001}, $-mataka$ (partir) {Ramirez 2001}, $-mhe:ta$ (abrir) {Ramirez 2001}		<khovakó?i-Jú> $kʰovakóʔi-Jú$ (partir) {Epps}		$rhováʔ-khú$ (partir) {Allin 1979}	$di-nawéta$ (partir, separar) {Aikhenvald 2001}, $di-kadúwa$ (partir) {Aikhenvald 2001}		$hataʔakahe$ (partir) {Epps}, $hataʔakahe$ (partir) {Epps}
